,X,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG_2020,PEMINAT_2019,JENIS_PORTOFOLIO,nama_prodi,rumpun,DAYA_TAMPUNG_2019,jumlah_peminat_2018,jumlah_peminat_2017,daya_tampung_2018,daya_tampung_2017
109,109,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131131,GIZI,32,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA
110,110,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132014,EKONOMI PEMBANGUNAN,96,97,Tidak Ada,EKONOMI PEMBANGUNAN,Soshum,60,149,206,68,48
111,111,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132022,ILMU ADMINISTRASI NEGARA,48,161,Tidak Ada,ILMU ADMINISTRASI NEGARA,Soshum,70,314,374,72,55
112,112,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132037,SOSIOLOGI,58,112,Tidak Ada,SOSIOLOGI,Soshum,60,151,200,54,42
113,113,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132045,ILMU KOMUNIKASI,65,135,Tidak Ada,ILMU KOMUNIKASI,Soshum,60,249,194,54,42
114,114,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132053,MANAJEMEN,48,147,Tidak Ada,MANAJEMEN,Soshum,70,323,411,58,46
115,115,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132061,AKUNTANSI,57,96,Tidak Ada,AKUNTANSI,Soshum,60,230,273,60,46
116,116,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1132076,ILMU HUKUM,75,128,Tidak Ada,ILMU HUKUM,Soshum,60,187,200,61,49
117,117,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141013,AGROTEKNOLOGI,43,113,Tidak Ada,AGROTEKNOLOGI,Saintek,40,202,170,31,20
118,118,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141021,AGRIBISNIS,35,159,Tidak Ada,AGRIBISNIS,Saintek,38,301,246,34,24
119,119,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141036,BUDIDAYA PERAIRAN,59,61,Tidak Ada,BUDIDAYA PERAIRAN,Saintek,47,97,107,44,29
120,120,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141044,PENDIDIKAN MATEMATIKA,18,49,Tidak Ada,PENDIDIKAN MATEMATIKA,Saintek,21,58,48,16,19
121,121,SUMATERA,4.4577459,97.9692964,UNIVERSITAS SAMUDRA,1141052,PENDIDIKAN FISIKA,26,33,Tidak Ada,PENDIDIKAN FISIKA,Saintek,25,38,22,15,17
